epoch,loss,val_loss
0,5.510118139551041,6.669028917948405
1,4.620036688890863,6.239988009134929
2,4.226249254420999,6.841040261586508
3,4.091210664586818,7.686105759938558
4,3.622026850568487,6.607742118835449
5,3.5433121865300645,8.279837512969971
6,3.512152446711317,6.4912719090779625
7,3.3289545355959143,7.4758354187011715
8,3.482765424027839,7.232888158162435
9,3.3542860036200666,6.111873690287272
10,3.4707188764785197,6.265982087453207
11,3.2180146499869013,5.951403490702311
12,2.963566080052802,4.999087079366048
13,3.117887996612711,5.038201649983724
14,3.055175361300921,6.263498719533285
15,2.7987984666164887,4.605638074874878
16,2.9557558849770973,5.938434664408366
17,2.8580517257506344,6.350362237294515
18,2.9886046946048737,5.7530917485555015
19,2.8870468539126377,5.349153010050456
20,2.7189624239228687,5.969705327351888
21,2.6918416213481984,3.5491503715515136
22,2.861170437107695,5.07493953704834
23,2.623182365466059,6.592086855570475
24,2.770815874667878,5.301957639058431
25,2.5428910356886845,5.037519264221191
26,2.5331496147304056,4.154387172063192
27,2.5904381918780346,5.361591466267904
28,2.6647130751863437,4.339076677958171
29,2.671634988554681,5.207049465179443
30,2.536868430832599,5.206181303660075
31,2.5269303959100804,4.604189443588257
32,2.547324141292725,4.899435075124105
33,2.5510170735577318,4.646349271138509
34,2.537044236951686,4.370001490910848
35,2.5675039841086873,4.40106611251831
36,2.4225192929201937,5.272506109873453
37,2.461898976818044,4.241414705912272
38,2.450672066563256,4.3455554962158205
39,2.536351051736385,3.543430789311727
40,2.3972248679145856,4.24670573870341
41,2.4373818038296124,4.144773292541504
42,2.2674986729596522,4.5872970422108965
43,2.5475314259529114,3.156279468536377
44,2.3489086305168296,4.8856459299723305
45,2.1580938357622066,6.214142862955729
46,2.2294212690693267,4.281853596369426
47,2.20053460674695,3.505253299077352
48,2.46075110581327,4.718129396438599
49,2.3233440803720598,4.173482211430867
50,2.211711230929991,4.688928604125977
51,2.3972729593515396,4.368849531809489
52,2.173910693919405,4.594769461949666
53,2.195787996133595,4.749962457021078
54,2.261986894493407,3.4480560143788654
55,2.236172522953216,4.448630460103353
56,2.0949010884154577,3.0846354484558107
57,2.1858557294657888,3.625709597269694
58,2.1987350253348654,4.172247505187988
59,2.1886363528049664,4.9714948813120525
60,2.069128413466697,4.544129991531372
61,2.19367531512646,4.284995698928833
62,2.156055927915803,2.9886295636494955
63,2.1244417771379998,3.436731783548991
64,2.1488721364356103,5.231652641296387
65,2.1220993420393794,4.221103874842326
66,2.0596070790544467,3.37458758354187
67,2.011380082115214,4.809928719202677
68,2.0250811225287717,4.709945408503215
69,2.1433624923229218,3.6902766863505048
70,2.307024818785647,4.168658208847046
71,2.2973661013646676,4.074279165267944
72,2.285527411927568,3.939052104949951
73,2.1036225490747613,3.133694537480672
74,2.0302315761832066,3.193118604024251
75,2.094067890593346,4.039541578292846
76,2.020727533609309,4.289553165435791
77,2.1503505093162882,4.287316306432088
78,2.076847677218153,3.273712158203125
79,2.083538164800786,3.439055665334066
80,1.9649358757699142,3.39263014793396
81,1.9769666695848425,3.4040281772613525
82,1.9312713729574325,3.335324780146281
83,1.8709337883916042,3.216568962732951
84,1.8324604976050398,3.3595632712046304
85,1.876919298412952,3.115814781188965
86,1.8610911781602506,3.2011043548583986
87,1.8309650478210855,3.115077273050944
88,1.96009569155409,3.0843749205271402
89,1.8725523018645218,3.046114110946655
90,1.936869632056419,3.1930816491444904
91,1.799514335520724,3.2744102319081625
92,1.8225869218401871,3.1622254053751626
93,1.7391467281478517,3.34275107383728
94,1.734298254898254,3.153507947921753
95,1.8810681564878202,3.004853868484497
96,2.000249590328399,3.0633230368296305
97,1.7435078662126622,3.0148994445800783
98,1.8868340608581462,3.0801260471343994
99,1.8617350918815492,2.8029932022094726
